"6212","GENR","FL"
"6214","GENR","FL"
"6215","GENR","FL"
"5444","GENR","QR"
"5444","GENR","SN"
"6216","GENR","FL"
"6219","GENR","FL"
"6220","GENR","FL"
"5454","GENR","HUM"
"5461","GENR","CA"
"5479","GENR","SS"
"6267","GENR","HUM"
"6268","GENR","HUM"
"5487","GENR","NW"
"5487","GENR","SS"
"6318","GENR","SS"
"5508","GENR","HUM"
"5508","GENR","WI"
"6246","GENR","USEM"
"6246","GENR","WI"
"6250","GENR","HUM"
"6251","GENR","QR"
"6251","GENR","SN"
"6241","GENR","QR"
"6241","GENR","SS"
"6253","GENR","SN"
"6253","GENR","WI"
"6242","GENR","SS"
"6182","GENR","USEM"
"6185","GENR","HUM"
"6185","GENR","WI"
"6186","GENR","HUM"
"6186","GENR","WI"
"5539","GENR","HUM"
"5539","GENR","NW"
"5539","GENR","SS"
"6189","GENR","USEM"
"5541","GENR","USEM"
"5561","GENR","SN"
"5563","GENR","SS"
"5563","GENR","WI"
"5565","GENR","QR"
"5565","GENR","SS"
"5565","GENR","WI"
"5566","GENR","SS"
"5574","GENR","CA"
"5574","GENR","HUM"
"5597","GENR","SS"
"5597","GENR","WI"
"5598","GENR","CA"
"5600","GENR","UWS"
"5601","GENR","UWS"
"5602","GENR","UWS"
"5603","GENR","CA"
"5604","GENR","CA"
"5605","GENR","SN"
"5613","GENR","CA"
"5617","GENR","UWS"
"5618","GENR","UWS"
"5619","GENR","UWS"
"5620","GENR","UWS"
"5621","GENR","UWS"
"5622","GENR","UWS"
"5623","GENR","UWS"
"5624","GENR","UWS"
"5625","GENR","UWS"
"5626","GENR","UWS"
"5650","GENR","SS"
"5652","GENR","HUM"
"5655","GENR","HUM"
"5671","GENR","SS"
"5675","GENR","USEM"
"5705","GENR","USEM"
"5711","GENR","USEM"
"6160","GENR","CA"
"6162","GENR","CA"
"6162","GENR","PE-1"
"5744","GENR","SS"
"5746","GENR","USEM"
"5778","GENR","HUM"
"6462","GENR","SS"
"6464","GENR","HUM"
"6464","GENR","NW"
"5921","GENR","CA"
"6507","GENR","FL"
"6507","GENR","HUM"
"6507","GENR","WI"
"5994","GENR","SN"
"6039","GENR","NW"
"6039","GENR","SS"
"6040","GENR","SS"
"6047","GENR","OC"
"6047","GENR","SS"
"6048","GENR","SS"
"6049","GENR","SS"
"6050","GENR","SS"
"6051","GENR","NW"
"6051","GENR","SS"
"6052","GENR","NW"
"6052","GENR","SS"
"6053","GENR","HUM"
"6054","GENR","CA"
"6054","GENR","HUM"
"6055","GENR","HUM"
"6056","GENR","FL"
"6056","GENR","HUM"
"6057","GENR","FL"
"6057","GENR","HUM"
"6058","GENR","SN"
